,date,veal
136,1955-05-01,118.0
137,1955-06-01,130.0
138,1955-07-01,123.0
139,1955-08-01,143.0
140,1955-09-01,147.0
141,1955-10-01,142.0
142,1955-11-01,129.0
143,1955-12-01,113.0
144,1956-01-01,115.0
145,1956-02-01,108.0
146,1956-03-01,113.0
147,1956-04-01,113.0
148,1956-05-01,122.0
149,1956-06-01,124.0
150,1956-07-01,133.0
151,1956-08-01,151.0
152,1956-09-01,141.0
153,1956-10-01,169.0
154,1956-11-01,141.0
155,1956-12-01,111.0
156,1957-01-01,128.0
157,1957-02-01,107.0
158,1957-03-01,112.0
159,1957-04-01,113.0
160,1957-05-01,118.0
161,1957-06-01,115.0
162,1957-07-01,132.0
163,1957-08-01,138.0
164,1957-09-01,131.0
165,1957-10-01,140.0
166,1957-11-01,110.0
167,1957-12-01,98.0
168,1958-01-01,106.0
169,1958-02-01,86.0
170,1958-03-01,91.0
171,1958-04-01,90.0
172,1958-05-01,90.0
173,1958-06-01,91.0
174,1958-07-01,96.0
175,1958-08-01,92.0
176,1958-09-01,94.0
177,1958-10-01,103.0
178,1958-11-01,81.0
179,1958-12-01,83.0
180,1959-01-01,75.0
181,1959-02-01,67.0
182,1959-03-01,73.0
183,1959-04-01,73.0
184,1959-05-01,70.0
185,1959-06-01,76.0
186,1959-07-01,80.0
187,1959-08-01,76.0
188,1959-09-01,87.0
189,1959-10-01,92.0
190,1959-11-01,80.0
191,1959-12-01,80.0
192,1960-01-01,79.0
193,1960-02-01,73.0
194,1960-03-01,83.0
195,1960-04-01,75.0
196,1960-05-01,77.0
197,1960-06-01,85.0
198,1960-07-01,85.0
199,1960-08-01,99.0
200,1960-09-01,101.0
201,1960-10-01,97.0
202,1960-11-01,91.0
203,1960-12-01,80.0
204,1961-01-01,81.0
205,1961-02-01,73.0
206,1961-03-01,82.0
207,1961-04-01,72.0
208,1961-05-01,79.0
209,1961-06-01,79.0
210,1961-07-01,74.0
211,1961-08-01,89.0
212,1961-09-01,85.0
213,1961-10-01,91.0
214,1961-11-01,84.0
215,1961-12-01,71.0
216,1962-01-01,82.0
217,1962-02-01,69.0
218,1962-03-01,78.0
219,1962-04-01,71.0
220,1962-05-01,79.0
221,1962-06-01,73.0
222,1962-07-01,76.0
223,1962-08-01,86.0
224,1962-09-01,81.0
225,1962-10-01,93.0
226,1962-11-01,79.0
227,1962-12-01,69.0
228,1963-01-01,78.0
229,1963-02-01,66.0
230,1963-03-01,68.0
231,1963-04-01,65.0
232,1963-05-01,65.0
233,1963-06-01,61.0
234,1963-07-01,71.0
235,1963-08-01,76.0
236,1963-09-01,76.0
237,1963-10-01,84.0
238,1963-11-01,70.0
239,1963-12-01,67.0
240,1964-01-01,77.0
241,1964-02-01,64.0
242,1964-03-01,69.0
243,1964-04-01,68.0
244,1964-05-01,66.0
245,1964-06-01,72.0
246,1964-07-01,81.0
247,1964-08-01,84.0
248,1964-09-01,91.0
249,1964-10-01,97.0
250,1964-11-01,82.0
251,1964-12-01,77.0
252,1965-01-01,79.0
253,1965-02-01,69.0
254,1965-03-01,80.0
255,1965-04-01,73.0
256,1965-05-01,66.0
257,1965-06-01,74.0
258,1965-07-01,77.0
259,1965-08-01,85.0
260,1965-09-01,90.0
261,1965-10-01,88.0
262,1965-11-01,83.0
263,1965-12-01,72.0
264,1966-01-01,75.0
265,1966-02-01,69.0
266,1966-03-01,79.0
267,1966-04-01,68.0
268,1966-05-01,66.0
269,1966-06-01,70.0
270,1966-07-01,68.0
271,1966-08-01,79.0
272,1966-09-01,76.0
273,1966-10-01,76.0
274,1966-11-01,72.0
275,1966-12-01,64.0
276,1967-01-01,67.0
277,1967-02-01,59.0
278,1967-03-01,65.0
279,1967-04-01,57.0
280,1967-05-01,59.0
281,1967-06-01,60.0
282,1967-07-01,59.0
283,1967-08-01,68.0
284,1967-09-01,66.0
285,1967-10-01,70.0
286,1967-11-01,64.0
287,1967-12-01,54.0
288,1968-01-01,63.0
289,1968-02-01,54.0
290,1968-03-01,57.0
291,1968-04-01,56.0
292,1968-05-01,57.0
293,1968-06-01,52.0
294,1968-07-01,57.0
295,1968-08-01,59.0
296,1968-09-01,59.0
297,1968-10-01,67.0
298,1968-11-01,61.0
299,1968-12-01,54.0
300,1969-01-01,60.0
301,1969-02-01,52.0
302,1969-03-01,53.0
303,1969-04-01,52.0
304,1969-05-01,50.0
305,1969-06-01,50.0
306,1969-07-01,53.0
307,1969-08-01,52.0
308,1969-09-01,57.0
309,1969-10-01,61.0
310,1969-11-01,49.0
311,1969-12-01,50.0
312,1970-01-01,50.0
313,1970-02-01,44.0
314,1970-03-01,49.0
315,1970-04-01,47.0
316,1970-05-01,45.0
317,1970-06-01,45.0
318,1970-07-01,47.0
319,1970-08-01,46.0
320,1970-09-01,49.0
321,1970-10-01,49.0
322,1970-11-01,43.0
323,1970-12-01,44.0
324,1971-01-01,44.0
325,1971-02-01,41.0
326,1971-03-01,48.0
327,1971-04-01,44.0
328,1971-05-01,42.0
329,1971-06-01,43.0
330,1971-07-01,43.0
331,1971-08-01,42.0
332,1971-09-01,45.0
333,1971-10-01,43.0
334,1971-11-01,42.0
335,1971-12-01,40.0
336,1972-01-01,40.0
337,1972-02-01,37.0
338,1972-03-01,41.0
339,1972-04-01,34.0
340,1972-05-01,35.0
341,1972-06-01,35.0
342,1972-07-01,33.0
343,1972-08-01,38.0
344,1972-09-01,34.0
345,1972-10-01,37.0
346,1972-11-01,34.0
347,1972-12-01,31.0
348,1973-01-01,36.0
349,1973-02-01,29.0
350,1973-03-01,31.0
351,1973-04-01,24.0
352,1973-05-01,27.0
353,1973-06-01,25.0
354,1973-07-01,24.0
355,1973-08-01,25.0
356,1973-09-01,24.0
357,1973-10-01,28.0
358,1973-11-01,28.0
359,1973-12-01,24.0
360,1974-01-01,29.0
361,1974-02-01,25.0
362,1974-03-01,29.0
363,1974-04-01,28.0
364,1974-05-01,29.0
365,1974-06-01,27.0
366,1974-07-01,34.0
367,1974-08-01,40.0
368,1974-09-01,47.0
369,1974-10-01,59.0
370,1974-11-01,48.0
371,1974-12-01,47.0
372,1975-01-01,59.0
373,1975-02-01,50.0
374,1975-03-01,57.0
375,1975-04-01,60.0
376,1975-05-01,59.0
377,1975-06-01,63.0
378,1975-07-01,77.0
379,1975-08-01,73.0
380,1975-09-01,82.0
381,1975-10-01,95.0
382,1975-11-01,76.0
383,1975-12-01,76.0
384,1976-01-01,73.0
385,1976-02-01,62.0
386,1976-03-01,71.0
387,1976-04-01,59.0
388,1976-05-01,56.0
389,1976-06-01,63.0
390,1976-07-01,62.0
391,1976-08-01,67.0
392,1976-09-01,75.0
393,1976-10-01,75.0
394,1976-11-01,72.0
395,1976-12-01,77.0
396,1977-01-01,68.0
397,1977-02-01,63.0
398,1977-03-01,70.0
399,1977-04-01,59.0
400,1977-05-01,61.0
401,1977-06-01,66.0
402,1977-07-01,62.0
403,1977-08-01,72.0
404,1977-09-01,71.0
405,1977-10-01,70.0
406,1977-11-01,68.0
407,1977-12-01,63.0
408,1978-01-01,62.0
409,1978-02-01,56.0
410,1978-03-01,60.0
411,1978-04-01,50.0
412,1978-05-01,52.0
413,1978-06-01,47.0
414,1978-07-01,44.0
415,1978-08-01,50.0
416,1978-09-01,45.0
417,1978-10-01,48.0
418,1978-11-01,45.0
419,1978-12-01,40.0
420,1979-01-01,41.0
421,1979-02-01,35.0
422,1979-03-01,38.0
423,1979-04-01,33.0
424,1979-05-01,33.0
425,1979-06-01,32.0
426,1979-07-01,34.0
427,1979-08-01,34.0
428,1979-09-01,31.0
429,1979-10-01,37.0
430,1979-11-01,33.0
431,1979-12-01,30.0
432,1980-01-01,33.0
433,1980-02-01,28.0
434,1980-03-01,30.0
435,1980-04-01,30.0
436,1980-05-01,29.0
437,1980-06-01,30.0
438,1980-07-01,31.0
439,1980-08-01,31.0
440,1980-09-01,33.0
441,1980-10-01,38.0
442,1980-11-01,31.0
443,1980-12-01,35.0
444,1981-01-01,35.0
445,1981-02-01,30.0
446,1981-03-01,35.0
447,1981-04-01,32.0
448,1981-05-01,30.0
449,1981-06-01,32.0
450,1981-07-01,34.0
451,1981-08-01,33.0
452,1981-09-01,38.0
453,1981-10-01,40.0
454,1981-11-01,35.0
455,1981-12-01,40.0
456,1982-01-01,36.0
457,1982-02-01,32.0
458,1982-03-01,39.0
459,1982-04-01,33.0
460,1982-05-01,31.0
461,1982-06-01,35.0
462,1982-07-01,34.0
463,1982-08-01,35.0
464,1982-09-01,38.0
465,1982-10-01,37.0
466,1982-11-01,36.0
467,1982-12-01,37.0
468,1983-01-01,34.0
469,1983-02-01,32.0
470,1983-03-01,37.0
471,1983-04-01,32.0
472,1983-05-01,32.0
473,1983-06-01,34.0
474,1983-07-01,33.0
475,1983-08-01,39.0
476,1983-09-01,38.0
477,1983-10-01,41.0
478,1983-11-01,39.0
479,1983-12-01,37.0
480,1984-01-01,39.0
481,1984-02-01,36.0
482,1984-03-01,40.0
483,1984-04-01,36.0
484,1984-05-01,39.0
485,1984-06-01,38.0
486,1984-07-01,40.0
487,1984-08-01,44.0
488,1984-09-01,39.0
489,1984-10-01,46.0
490,1984-11-01,43.0
491,1984-12-01,39.0
492,1985-01-01,42.0
493,1985-02-01,37.0
494,1985-03-01,40.0
495,1985-04-01,41.0
496,1985-05-01,42.0
497,1985-06-01,37.0
498,1985-07-01,43.0
499,1985-08-01,41.0
500,1985-09-01,42.0
501,1985-10-01,46.0
502,1985-11-01,42.0
503,1985-12-01,46.0
504,1986-01-01,46.0
505,1986-02-01,40.0
506,1986-03-01,43.0
507,1986-04-01,45.0
508,1986-05-01,43.0
509,1986-06-01,41.0
510,1986-07-01,45.0
511,1986-08-01,41.0
512,1986-09-01,43.0
513,1986-10-01,44.0
514,1986-11-01,37.0
515,1986-12-01,41.0
516,1987-01-01,39.0
517,1987-02-01,35.0
518,1987-03-01,38.0
519,1987-04-01,34.0
520,1987-05-01,32.0
521,1987-06-01,35.0
522,1987-07-01,34.0
523,1987-08-01,30.0
524,1987-09-01,35.0
525,1987-10-01,36.0
526,1987-11-01,32.0
527,1987-12-01,36.0
528,1988-01-01,32.0
529,1988-02-01,32.0
530,1988-03-01,33.0
531,1988-04-01,28.0
532,1988-05-01,30.0
533,1988-06-01,34.0
534,1988-07-01,31.0
535,1988-08-01,35.0
536,1988-09-01,33.0
537,1988-10-01,34.0
538,1988-11-01,33.0
539,1988-12-01,32.0
540,1989-01-01,32.0
541,1989-02-01,28.0
542,1989-03-01,31.0
543,1989-04-01,27.0
544,1989-05-01,29.0
545,1989-06-01,29.0
546,1989-07-01,27.0
547,1989-08-01,29.0
548,1989-09-01,28.0
549,1989-10-01,31.0
550,1989-11-01,28.0
551,1989-12-01,25.0
552,1990-01-01,27.0
553,1990-02-01,24.0
554,1990-03-01,28.0
555,1990-04-01,22.0
556,1990-05-01,25.0
557,1990-06-01,25.0
558,1990-07-01,25.0
559,1990-08-01,28.0
560,1990-09-01,26.0
561,1990-10-01,31.0
562,1990-11-01,28.0
563,1990-12-01,27.0
564,1991-01-01,31.0
565,1991-02-01,25.0
566,1991-03-01,25.0
567,1991-04-01,23.0
568,1991-05-01,23.0
569,1991-06-01,20.0
570,1991-07-01,22.0
571,1991-08-01,22.0
572,1991-09-01,24.0
573,1991-10-01,28.0
574,1991-11-01,26.0
575,1991-12-01,27.0
576,1992-01-01,28.0
577,1992-02-01,25.0
578,1992-03-01,27.0
579,1992-04-01,25.0
580,1992-05-01,25.0
581,1992-06-01,25.0
582,1992-07-01,24.0
583,1992-08-01,24.0
584,1992-09-01,23.0
585,1992-10-01,24.0
586,1992-11-01,23.0
587,1992-12-01,26.0
588,1993-01-01,22.0
589,1993-02-01,21.0
590,1993-03-01,26.0
591,1993-04-01,22.0
592,1993-05-01,19.0
593,1993-06-01,22.0
594,1993-07-01,21.0
595,1993-08-01,23.0
596,1993-09-01,22.0
597,1993-10-01,22.0
598,1993-11-01,23.0
599,1993-12-01,24.0
600,1994-01-01,23.0
601,1994-02-01,22.0
602,1994-03-01,26.0
603,1994-04-01,22.0
604,1994-05-01,22.0
605,1994-06-01,24.0
606,1994-07-01,21.0
607,1994-08-01,24.0
608,1994-09-01,23.0
609,1994-10-01,25.0
610,1994-11-01,25.0
611,1994-12-01,26.0
612,1995-01-01,27.0
613,1995-02-01,24.0
614,1995-03-01,27.0
615,1995-04-01,22.0
616,1995-05-01,26.0
617,1995-06-01,26.0
618,1995-07-01,24.0
619,1995-08-01,26.0
620,1995-09-01,26.0
621,1995-10-01,27.0
622,1995-11-01,27.0
623,1995-12-01,26.0
624,1996-01-01,30.0
625,1996-02-01,30.0
626,1996-03-01,30.0
627,1996-04-01,28.0
628,1996-05-01,30.0
629,1996-06-01,29.0
630,1996-07-01,32.0
631,1996-08-01,32.0
632,1996-09-01,31.0
633,1996-10-01,34.0
634,1996-11-01,30.0
635,1996-12-01,31.0
636,1997-01-01,31.0
637,1997-02-01,27.0
638,1997-03-01,28.0
639,1997-04-01,28.0
640,1997-05-01,26.0
641,1997-06-01,26.0
642,1997-07-01,27.0
643,1997-08-01,25.0
644,1997-09-01,28.0
645,1997-10-01,28.0
646,1997-11-01,24.0
647,1997-12-01,26.0
648,1998-01-01,24.0
649,1998-02-01,21.0
650,1998-03-01,23.0
651,1998-04-01,20.0
652,1998-05-01,19.0
653,1998-06-01,20.0
654,1998-07-01,21.0
655,1998-08-01,20.0
656,1998-09-01,22.0
657,1998-10-01,21.0
658,1998-11-01,19.0
659,1998-12-01,22.0
660,1999-01-01,18.0
661,1999-02-01,17.0
662,1999-03-01,20.0
663,1999-04-01,18.0
664,1999-05-01,17.0
665,1999-06-01,19.0
666,1999-07-01,19.0
667,1999-08-01,20.0
668,1999-09-01,20.0
669,1999-10-01,19.0
670,1999-11-01,19.0
671,1999-12-01,20.0
672,2000-01-01,17.0
673,2000-02-01,18.0
674,2000-03-01,20.0
675,2000-04-01,17.0
676,2000-05-01,19.0
677,2000-06-01,18.0
678,2000-07-01,18.0
679,2000-08-01,17.0
680,2000-09-01,17.0
681,2000-10-01,18.0
682,2000-11-01,18.0
683,2000-12-01,18.0
684,2001-01-01,18.0
685,2001-02-01,16.0
686,2001-03-01,16.0
687,2001-04-01,15.0
688,2001-05-01,16.0
689,2001-06-01,16.0
690,2001-07-01,16.0
691,2001-08-01,17.0
692,2001-09-01,15.0
693,2001-10-01,18.0
694,2001-11-01,16.0
695,2001-12-01,16.0
696,2002-01-01,16.9
697,2002-02-01,14.3
698,2002-03-01,15.0
699,2002-04-01,16.1
700,2002-05-01,15.5
701,2002-06-01,14.6
702,2002-07-01,16.7
703,2002-08-01,16.7
704,2002-09-01,16.3
705,2002-10-01,18.7
706,2002-11-01,16.9
707,2002-12-01,18.0
708,2003-01-01,17.8
709,2003-02-01,15.8
710,2003-03-01,16.5
711,2003-04-01,16.0
712,2003-05-01,15.8
713,2003-06-01,15.0
714,2003-07-01,14.8
715,2003-08-01,14.1
716,2003-09-01,15.3
717,2003-10-01,16.3
718,2003-11-01,15.2
719,2003-12-01,19.0
720,2004-01-01,16.0
721,2004-02-01,14.5
722,2004-03-01,14.1
723,2004-04-01,13.9
724,2004-05-01,13.7
725,2004-06-01,13.3
726,2004-07-01,13.3
727,2004-08-01,14.0
728,2004-09-01,12.9
729,2004-10-01,12.4
730,2004-11-01,13.8
731,2004-12-01,14.9
732,2005-01-01,13.3
733,2005-02-01,12.0
734,2005-03-01,13.3
735,2005-04-01,13.0
736,2005-05-01,13.2
737,2005-06-01,13.2
738,2005-07-01,12.4
739,2005-08-01,13.7
740,2005-09-01,13.2
741,2005-10-01,12.6
742,2005-11-01,12.4
743,2005-12-01,13.5
744,2006-01-01,11.8
745,2006-02-01,11.3
746,2006-03-01,12.7
747,2006-04-01,10.4
748,2006-05-01,12.7
749,2006-06-01,12.4
750,2006-07-01,11.2
751,2006-08-01,12.8
752,2006-09-01,12.1
753,2006-10-01,13.2
754,2006-11-01,12.9
755,2006-12-01,13.1
756,2007-01-01,14.3
757,2007-02-01,12.1
758,2007-03-01,13.5
759,2007-04-01,11.9
760,2007-05-01,12.3
761,2007-06-01,11.2
762,2007-07-01,10.7
763,2007-08-01,10.3
764,2007-09-01,9.4
765,2007-10-01,11.1
766,2007-11-01,10.1
767,2007-12-01,10.4
768,2008-01-01,11.3
769,2008-02-01,11.0
770,2008-03-01,11.3
771,2008-04-01,11.9
772,2008-05-01,11.5
773,2008-06-01,11.7
774,2008-07-01,12.3
775,2008-08-01,11.2
776,2008-09-01,12.8
777,2008-10-01,13.5
778,2008-11-01,11.3
779,2008-12-01,13.3
780,2009-01-01,12.0
781,2009-02-01,11.0
782,2009-03-01,12.2
783,2009-04-01,11.2
784,2009-05-01,10.3
785,2009-06-01,11.5
786,2009-07-01,10.9
787,2009-08-01,10.6
788,2009-09-01,11.7
789,2009-10-01,12.2
790,2009-11-01,11.7
791,2009-12-01,13.1
792,2010-01-01,11.6
793,2010-02-01,10.7
794,2010-03-01,12.2
795,2010-04-01,11.1
796,2010-05-01,10.1
797,2010-06-01,10.7
798,2010-07-01,10.9
799,2010-08-01,11.2
800,2010-09-01,11.3
801,2010-10-01,11.4
802,2010-11-01,11.3
803,2010-12-01,11.7
804,2011-01-01,10.8
805,2011-02-01,10.5
806,2011-03-01,12.1
807,2011-04-01,10.2
808,2011-05-01,10.3
809,2011-06-01,11.2
810,2011-07-01,10.1
811,2011-08-01,11.4
812,2011-09-01,10.7
813,2011-10-01,10.6
814,2011-11-01,10.8
815,2011-12-01,10.8
816,2012-01-01,10.4
817,2012-02-01,9.8
818,2012-03-01,10.0
819,2012-04-01,9.9
820,2012-05-01,10.4
821,2012-06-01,8.9
822,2012-07-01,9.5
823,2012-08-01,10.1
824,2012-09-01,8.8
825,2012-10-01,10.3
826,2012-11-01,10.1
