,date,pork
136,1955-05-01,707.0
137,1955-06-01,667.0
138,1955-07-01,594.0
139,1955-08-01,726.0
140,1955-09-01,808.0
141,1955-10-01,948.0
142,1955-11-01,1073.0
143,1955-12-01,1145.0
144,1956-01-01,1057.0
145,1956-02-01,923.0
146,1956-03-01,954.0
147,1956-04-01,812.0
148,1956-05-01,777.0
149,1956-06-01,711.0
150,1956-07-01,690.0
151,1956-08-01,721.0
152,1956-09-01,767.0
153,1956-10-01,967.0
154,1956-11-01,1011.0
155,1956-12-01,894.0
156,1957-01-01,913.0
157,1957-02-01,778.0
158,1957-03-01,831.0
159,1957-04-01,786.0
160,1957-05-01,785.0
161,1957-06-01,663.0
162,1957-07-01,687.0
163,1957-08-01,694.0
164,1957-09-01,760.0
165,1957-10-01,935.0
166,1957-11-01,865.0
167,1957-12-01,882.0
168,1958-01-01,892.0
169,1958-02-01,708.0
170,1958-03-01,775.0
171,1958-04-01,806.0
172,1958-05-01,734.0
173,1958-06-01,710.0
174,1958-07-01,714.0
175,1958-08-01,718.0
176,1958-09-01,822.0
177,1958-10-01,932.0
178,1958-11-01,858.0
179,1958-12-01,949.0
180,1959-01-01,965.0
181,1959-02-01,907.0
182,1959-03-01,918.0
183,1959-04-01,920.0
184,1959-05-01,823.0
185,1959-06-01,825.0
186,1959-07-01,842.0
187,1959-08-01,792.0
188,1959-09-01,926.0
189,1959-10-01,1060.0
190,1959-11-01,1028.0
191,1959-12-01,1125.0
192,1960-01-01,1058.0
193,1960-02-01,940.0
194,1960-03-01,981.0
195,1960-04-01,910.0
196,1960-05-01,905.0
197,1960-06-01,852.0
198,1960-07-01,724.0
199,1960-08-01,850.0
200,1960-09-01,845.0
201,1960-10-01,885.0
202,1960-11-01,956.0
203,1960-12-01,957.0
204,1961-01-01,947.0
205,1961-02-01,823.0
206,1961-03-01,980.0
207,1961-04-01,823.0
208,1961-05-01,923.0
209,1961-06-01,854.0
210,1961-07-01,723.0
211,1961-08-01,842.0
212,1961-09-01,838.0
213,1961-10-01,993.0
214,1961-11-01,1034.0
215,1961-12-01,950.0
216,1962-01-01,1017.0
217,1962-02-01,864.0
218,1962-03-01,1010.0
219,1962-04-01,932.0
220,1962-05-01,964.0
221,1962-06-01,853.0
222,1962-07-01,798.0
223,1962-08-01,867.0
224,1962-09-01,787.0
225,1962-10-01,1092.0
226,1962-11-01,1052.0
227,1962-12-01,993.0
228,1963-01-01,1063.0
229,1963-02-01,922.0
230,1963-03-01,1056.0
231,1963-04-01,1037.0
232,1963-05-01,986.0
233,1963-06-01,824.0
234,1963-07-01,850.0
235,1963-08-01,856.0
236,1963-09-01,954.0
237,1963-10-01,1110.0
238,1963-11-01,1075.0
239,1963-12-01,1130.0
240,1964-01-01,1162.0
241,1964-02-01,973.0
242,1964-03-01,1052.0
243,1964-04-01,1073.0
244,1964-05-01,921.0
245,1964-06-01,868.0
246,1964-07-01,853.0
247,1964-08-01,814.0
248,1964-09-01,939.0
249,1964-10-01,1140.0
250,1964-11-01,1106.0
251,1964-12-01,1118.0
252,1965-01-01,1014.0
253,1965-02-01,872.0
254,1965-03-01,1075.0
255,1965-04-01,972.0
256,1965-05-01,803.0
257,1965-06-01,804.0
258,1965-07-01,755.0
259,1965-08-01,806.0
260,1965-09-01,917.0
261,1965-10-01,920.0
262,1965-11-01,935.0
263,1965-12-01,863.0
264,1966-01-01,830.0
265,1966-02-01,809.0
266,1966-03-01,1006.0
267,1966-04-01,923.0
268,1966-05-01,875.0
269,1966-06-01,841.0
270,1966-07-01,747.0
271,1966-08-01,879.0
272,1966-09-01,991.0
273,1966-10-01,1029.0
274,1966-11-01,1094.0
275,1966-12-01,1106.0
276,1967-01-01,1108.0
277,1967-02-01,980.0
278,1967-03-01,1136.0
279,1967-04-01,1020.0
280,1967-05-01,930.0
281,1967-06-01,919.0
282,1967-07-01,838.0
283,1967-08-01,1009.0
284,1967-09-01,1046.0
285,1967-10-01,1154.0
286,1967-11-01,1142.0
287,1967-12-01,1095.0
288,1968-01-01,1150.0
289,1968-02-01,986.0
290,1968-03-01,1060.0
291,1968-04-01,1113.0
292,1968-05-01,1110.0
293,1968-06-01,895.0
294,1968-07-01,943.0
295,1968-08-01,996.0
296,1968-09-01,1059.0
297,1968-10-01,1249.0
298,1968-11-01,1143.0
299,1968-12-01,1162.0
300,1969-01-01,1170.0
301,1969-02-01,1050.0
302,1969-03-01,1131.0
303,1969-04-01,1145.0
304,1969-05-01,1028.0
305,1969-06-01,964.0
306,1969-07-01,970.0
307,1969-08-01,943.0
308,1969-09-01,1073.0
309,1969-10-01,1188.0
310,1969-11-01,1003.0
311,1969-12-01,1109.0
312,1970-01-01,1051.0
313,1970-02-01,929.0
314,1970-03-01,1076.0
315,1970-04-01,1137.0
316,1970-05-01,1015.0
317,1970-06-01,981.0
318,1970-07-01,990.0
319,1970-08-01,1008.0
320,1970-09-01,1156.0
321,1970-10-01,1278.0
322,1970-11-01,1255.0
323,1970-12-01,1372.0
324,1971-01-01,1265.0
325,1971-02-01,1073.0
326,1971-03-01,1333.0
327,1971-04-01,1293.0
328,1971-05-01,1188.0
329,1971-06-01,1197.0
330,1971-07-01,1057.0
331,1971-08-01,1150.0
332,1971-09-01,1234.0
333,1971-10-01,1213.0
334,1971-11-01,1296.0
335,1971-12-01,1307.0
336,1972-01-01,1105.0
337,1972-02-01,1078.0
338,1972-03-01,1320.0
339,1972-04-01,1139.0
340,1972-05-01,1160.0
341,1972-06-01,1087.0
342,1972-07-01,902.0
343,1972-08-01,1089.0
344,1972-09-01,1073.0
345,1972-10-01,1202.0
346,1972-11-01,1218.0
347,1972-12-01,1087.0
348,1973-01-01,1149.0
349,1973-02-01,979.0
350,1973-03-01,1134.0
351,1973-04-01,1033.0
352,1973-05-01,1150.0
353,1973-06-01,995.0
354,1973-07-01,889.0
355,1973-08-01,973.0
356,1973-09-01,929.0
357,1973-10-01,1152.0
358,1973-11-01,1137.0
359,1973-12-01,1058.0
360,1974-01-01,1212.0
361,1974-02-01,999.0
362,1974-03-01,1167.0
363,1974-04-01,1225.0
364,1974-05-01,1256.0
365,1974-06-01,1050.0
366,1974-07-01,1015.0
367,1974-08-01,1100.0
368,1974-09-01,1127.0
369,1974-10-01,1217.0
370,1974-11-01,1123.0
371,1974-12-01,1091.0
372,1975-01-01,1114.0
373,1975-02-01,954.0
374,1975-03-01,976.0
375,1975-04-01,1100.0
376,1975-05-01,934.0
377,1975-06-01,889.0
378,1975-07-01,817.0
379,1975-08-01,794.0
380,1975-09-01,901.0
381,1975-10-01,936.0
382,1975-11-01,904.0
383,1975-12-01,996.0
384,1976-01-01,953.0
385,1976-02-01,850.0
386,1976-03-01,1093.0
387,1976-04-01,1003.0
388,1976-05-01,880.0
389,1976-06-01,899.0
390,1976-07-01,847.0
391,1976-08-01,1020.0
392,1976-09-01,1084.0
393,1976-10-01,1188.0
394,1976-11-01,1255.0
395,1976-12-01,1146.0
396,1977-01-01,1024.0
397,1977-02-01,1013.0
398,1977-03-01,1257.0
399,1977-04-01,1119.0
400,1977-05-01,1044.0
401,1977-06-01,1022.0
402,1977-07-01,869.0
403,1977-08-01,1074.0
404,1977-09-01,1130.0
405,1977-10-01,1151.0
406,1977-11-01,1241.0
407,1977-12-01,1108.0
408,1978-01-01,1051.0
409,1978-02-01,1013.0
410,1978-03-01,1179.0
411,1978-04-01,1093.0
412,1978-05-01,1125.0
413,1978-06-01,1047.0
414,1978-07-01,964.0
415,1978-08-01,1101.0
416,1978-09-01,1095.0
417,1978-10-01,1176.0
418,1978-11-01,1236.0
419,1978-12-01,1129.0
420,1979-01-01,1146.0
421,1979-02-01,1000.0
422,1979-03-01,1249.0
423,1979-04-01,1236.0
424,1979-05-01,1307.0
425,1979-06-01,1211.0
426,1979-07-01,1220.0
427,1979-08-01,1351.0
428,1979-09-01,1204.0
429,1979-10-01,1551.0
430,1979-11-01,1470.0
431,1979-12-01,1326.0
432,1980-01-01,1450.0
433,1980-02-01,1288.0
434,1980-03-01,1388.0
435,1980-04-01,1516.0
436,1980-05-01,1471.0
437,1980-06-01,1312.0
438,1980-07-01,1232.0
439,1980-08-01,1189.0
440,1980-09-01,1335.0
441,1980-10-01,1485.0
442,1980-11-01,1339.0
443,1980-12-01,1428.0
444,1981-01-01,1416.0
445,1981-02-01,1235.0
446,1981-03-01,1425.0
447,1981-04-01,1425.0
448,1981-05-01,1254.0
449,1981-06-01,1201.0
450,1981-07-01,1162.0
451,1981-08-01,1157.0
452,1981-09-01,1287.0
453,1981-10-01,1391.0
454,1981-11-01,1319.0
455,1981-12-01,1445.0
456,1982-01-01,1229.0
457,1982-02-01,1114.0
458,1982-03-01,1350.0
459,1982-04-01,1255.0
460,1982-05-01,1125.0
461,1982-06-01,1170.0
462,1982-07-01,1040.0
463,1982-08-01,1088.0
464,1982-09-01,1112.0
465,1982-10-01,1178.0
466,1982-11-01,1257.0
467,1982-12-01,1203.0
468,1983-01-01,1159.0
469,1983-02-01,1021.0
470,1983-03-01,1303.0
471,1983-04-01,1262.0
472,1983-05-01,1243.0
473,1983-06-01,1266.0
474,1983-07-01,1134.0
475,1983-08-01,1250.0
476,1983-09-01,1273.0
477,1983-10-01,1388.0
478,1983-11-01,1468.0
479,1983-12-01,1350.0
480,1984-01-01,1235.0
481,1984-02-01,1165.0
482,1984-03-01,1338.0
483,1984-04-01,1233.0
484,1984-05-01,1281.0
485,1984-06-01,1156.0
486,1984-07-01,1041.0
487,1984-08-01,1175.0
488,1984-09-01,1139.0
489,1984-10-01,1411.0
490,1984-11-01,1326.0
491,1984-12-01,1220.0
492,1985-01-01,1281.0
493,1985-02-01,1105.0
494,1985-03-01,1232.0
495,1985-04-01,1289.0
496,1985-05-01,1329.0
497,1985-06-01,1125.0
498,1985-07-01,1147.0
499,1985-08-01,1210.0
500,1985-09-01,1196.0
501,1985-10-01,1358.0
502,1985-11-01,1241.0
503,1985-12-01,1215.0
504,1986-01-01,1266.0
505,1986-02-01,1106.0
506,1986-03-01,1198.0
507,1986-04-01,1292.0
508,1986-05-01,1211.0
509,1986-06-01,1065.0
510,1986-07-01,1063.0
511,1986-08-01,1037.0
512,1986-09-01,1137.0
513,1986-10-01,1285.0
514,1986-11-01,1117.0
515,1986-12-01,1221.0
516,1987-01-01,1244.0
517,1987-02-01,1070.0
518,1987-03-01,1226.0
519,1987-04-01,1170.0
520,1987-05-01,1071.0
521,1987-06-01,1086.0
522,1987-07-01,1082.0
523,1987-08-01,1075.0
524,1987-09-01,1227.0
525,1987-10-01,1359.0
526,1987-11-01,1312.0
527,1987-12-01,1390.0
528,1988-01-01,1244.0
529,1988-02-01,1184.0
530,1988-03-01,1362.0
531,1988-04-01,1263.0
532,1988-05-01,1231.0
533,1988-06-01,1233.0
534,1988-07-01,1133.0
535,1988-08-01,1282.0
536,1988-09-01,1360.0
537,1988-10-01,1443.0
538,1988-11-01,1463.0
539,1988-12-01,1425.0
540,1989-01-01,1307.0
541,1989-02-01,1205.0
542,1989-03-01,1373.0
543,1989-04-01,1322.0
544,1989-05-01,1341.0
545,1989-06-01,1266.0
546,1989-07-01,1108.0
547,1989-08-01,1333.0
548,1989-09-01,1349.0
549,1989-10-01,1421.0
550,1989-11-01,1446.0
551,1989-12-01,1288.0
552,1990-01-01,1363.0
553,1990-02-01,1213.0
554,1990-03-01,1329.0
555,1990-04-01,1248.0
556,1990-05-01,1257.0
557,1990-06-01,1142.0
558,1990-07-01,1103.0
559,1990-08-01,1310.0
560,1990-09-01,1228.0
561,1990-10-01,1392.0
562,1990-11-01,1373.0
563,1990-12-01,1342.0
564,1991-01-01,1396.0
565,1991-02-01,1204.0
566,1991-03-01,1300.0
567,1991-04-01,1361.0
568,1991-05-01,1291.0
569,1991-06-01,1140.0
570,1991-07-01,1207.0
571,1991-08-01,1299.0
572,1991-09-01,1316.0
573,1991-10-01,1534.0
574,1991-11-01,1456.0
575,1991-12-01,1444.0
576,1992-01-01,1525.0
577,1992-02-01,1329.0
578,1992-03-01,1467.0
579,1992-04-01,1414.0
580,1992-05-01,1287.0
581,1992-06-01,1332.0
582,1992-07-01,1375.0
583,1992-08-01,1378.0
584,1992-09-01,1511.0
585,1992-10-01,1588.0
586,1992-11-01,1455.0
587,1992-12-01,1524.0
588,1993-01-01,1435.0
589,1993-02-01,1289.0
590,1993-03-01,1480.0
591,1993-04-01,1465.0
592,1993-05-01,1309.0
593,1993-06-01,1377.0
594,1993-07-01,1311.0
595,1993-08-01,1389.0
596,1993-09-01,1440.0
597,1993-10-01,1472.0
598,1993-11-01,1509.0
599,1993-12-01,1554.0
600,1994-01-01,1376.0
601,1994-02-01,1275.0
602,1994-03-01,1530.0
603,1994-04-01,1432.0
604,1994-05-01,1396.0
605,1994-06-01,1411.0
606,1994-07-01,1294.0
607,1994-08-01,1493.0
608,1994-09-01,1539.0
609,1994-10-01,1631.0
610,1994-11-01,1639.0
611,1994-12-01,1642.0
612,1995-01-01,1500.0
613,1995-02-01,1354.0
614,1995-03-01,1634.0
615,1995-04-01,1404.0
616,1995-05-01,1525.0
617,1995-06-01,1464.0
618,1995-07-01,1299.0
619,1995-08-01,1504.0
620,1995-09-01,1438.0
621,1995-10-01,1574.0
622,1995-11-01,1608.0
623,1995-12-01,1507.0
624,1996-01-01,1550.0
625,1996-02-01,1417.0
626,1996-03-01,1422.0
627,1996-04-01,1485.0
628,1996-05-01,1413.0
629,1996-06-01,1206.0
630,1996-07-01,1340.0
631,1996-08-01,1395.0
632,1996-09-01,1408.0
633,1996-10-01,1591.0
634,1996-11-01,1429.0
635,1996-12-01,1429.0
636,1997-01-01,1461.0
637,1997-02-01,1309.0
638,1997-03-01,1422.0
639,1997-04-01,1446.0
640,1997-05-01,1332.0
641,1997-06-01,1312.0
642,1997-07-01,1354.0
643,1997-08-01,1352.0
644,1997-09-01,1490.0
645,1997-10-01,1652.0
646,1997-11-01,1473.0
647,1997-12-01,1641.0
648,1998-01-01,1634.0
649,1998-02-01,1457.0
650,1998-03-01,1596.0
651,1998-04-01,1566.0
652,1998-05-01,1419.0
653,1998-06-01,1444.0
654,1998-07-01,1529.0
655,1998-08-01,1505.0
656,1998-09-01,1591.0
657,1998-10-01,1757.0
658,1998-11-01,1683.0
659,1998-12-01,1799.0
660,1999-01-01,1628.0
661,1999-02-01,1501.0
662,1999-03-01,1737.0
663,1999-04-01,1629.0
664,1999-05-01,1417.0
665,1999-06-01,1584.0
666,1999-07-01,1489.0
667,1999-08-01,1565.0
668,1999-09-01,1618.0
669,1999-10-01,1698.0
670,1999-11-01,1707.0
671,1999-12-01,1705.0
672,2000-01-01,1572.0
673,2000-02-01,1558.0
674,2000-03-01,1704.0
675,2000-04-01,1398.0
676,2000-05-01,1542.0
677,2000-06-01,1538.0
678,2000-07-01,1409.0
679,2000-08-01,1643.0
680,2000-09-01,1554.0
681,2000-10-01,1717.0
682,2000-11-01,1714.0
683,2000-12-01,1579.0
684,2001-01-01,1693.0
685,2001-02-01,1486.0
686,2001-03-01,1626.0
687,2001-04-01,1533.0
688,2001-05-01,1555.0
689,2001-06-01,1458.0
690,2001-07-01,1435.0
691,2001-08-01,1600.0
692,2001-09-01,1513.0
693,2001-10-01,1838.0
694,2001-11-01,1733.0
695,2001-12-01,1668.0
696,2002-01-01,1717.0
697,2002-02-01,1482.0
698,2002-03-01,1581.0
699,2002-04-01,1672.0
700,2002-05-01,1646.0
701,2002-06-01,1479.0
702,2002-07-01,1557.0
703,2002-08-01,1637.0
704,2002-09-01,1638.0
705,2002-10-01,1831.0
706,2002-11-01,1709.0
707,2002-12-01,1715.0
708,2003-01-01,1752.0
709,2003-02-01,1523.0
710,2003-03-01,1623.0
711,2003-04-01,1659.0
712,2003-05-01,1551.0
713,2003-06-01,1531.0
714,2003-07-01,1580.0
715,2003-08-01,1559.0
716,2003-09-01,1668.0
717,2003-10-01,1912.0
718,2003-11-01,1718.0
719,2003-12-01,1869.0
720,2004-01-01,1758.0
721,2004-02-01,1571.0
722,2004-03-01,1801.0
723,2004-04-01,1725.0
724,2004-05-01,1500.0
725,2004-06-01,1672.0
726,2004-07-01,1576.0
727,2004-08-01,1699.0
728,2004-09-01,1772.0
729,2004-10-01,1779.0
730,2004-11-01,1799.0
731,2004-12-01,1857.0
732,2005-01-01,1704.8
733,2005-02-01,1629.2
734,2005-03-01,1803.7
735,2005-04-01,1703.4
736,2005-05-01,1611.4
737,2005-06-01,1706.5
738,2005-07-01,1505.0
739,2005-08-01,1752.3
740,2005-09-01,1743.0
741,2005-10-01,1816.2
742,2005-11-01,1843.2
743,2005-12-01,1866.3
744,2006-01-01,1820.5
745,2006-02-01,1637.0
746,2006-03-01,1877.5
747,2006-04-01,1618.3
748,2006-05-01,1726.0
749,2006-06-01,1663.3
750,2006-07-01,1552.6
751,2006-08-01,1780.2
752,2006-09-01,1753.7
753,2006-10-01,1932.0
754,2006-11-01,1896.4
755,2006-12-01,1796.4
756,2007-01-01,1898.5
757,2007-02-01,1636.3
758,2007-03-01,1861.0
759,2007-04-01,1711.5
760,2007-05-01,1762.6
761,2007-06-01,1654.1
762,2007-07-01,1659.5
763,2007-08-01,1850.0
764,2007-09-01,1746.0
765,2007-10-01,2145.1
766,2007-11-01,2045.2
767,2007-12-01,1972.7
768,2008-01-01,2159.0
769,2008-02-01,1902.7
770,2008-03-01,1962.0
771,2008-04-01,2015.6
772,2008-05-01,1815.5
773,2008-06-01,1761.8
774,2008-07-01,1852.5
775,2008-08-01,1803.9
776,2008-09-01,1975.8
777,2008-10-01,2159.9
778,2008-11-01,1886.1
779,2008-12-01,2052.1
780,2009-01-01,2027.0
781,2009-02-01,1817.3
782,2009-03-01,1969.7
783,2009-04-01,1925.0
784,2009-05-01,1716.8
785,2009-06-01,1847.7
786,2009-07-01,1828.5
787,2009-08-01,1868.9
788,2009-09-01,2002.1
789,2009-10-01,2089.0
790,2009-11-01,1921.7
791,2009-12-01,1985.3
792,2010-01-01,1809.7
793,2010-02-01,1757.5
794,2010-03-01,2040.1
795,2010-04-01,1849.1
796,2010-05-01,1621.3
797,2010-06-01,1831.7
798,2010-07-01,1702.2
799,2010-08-01,1815.3
800,2010-09-01,1883.5
801,2010-10-01,2002.7
802,2010-11-01,2068.0
803,2010-12-01,2055.4
804,2011-01-01,1896.2
805,2011-02-01,1768.1
806,2011-03-01,2054.4
807,2011-04-01,1790.7
808,2011-05-01,1759.7
809,2011-06-01,1820.0
810,2011-07-01,1637.1
811,2011-08-01,1892.1
812,2011-09-01,1954.4
813,2011-10-01,2033.2
814,2011-11-01,2086.7
815,2011-12-01,2065.6
816,2012-01-01,1987.0
817,2012-02-01,1882.9
818,2012-03-01,1987.9
819,2012-04-01,1841.7
820,2012-05-01,1926.8
821,2012-06-01,1750.4
822,2012-07-01,1721.8
823,2012-08-01,1997.9
824,2012-09-01,1911.0
825,2012-10-01,2210.4
826,2012-11-01,2078.7
