,date,beef
247,1964-08-01,1477.0
248,1964-09-01,1536.0
249,1964-10-01,1623.0
250,1964-11-01,1454.0
251,1964-12-01,1560.0
252,1965-01-01,1539.0
253,1965-02-01,1365.0
254,1965-03-01,1568.0
255,1965-04-01,1423.0
256,1965-05-01,1431.0
257,1965-06-01,1530.0
258,1965-07-01,1520.0
259,1965-08-01,1567.0
260,1965-09-01,1624.0
261,1965-10-01,1603.0
262,1965-11-01,1570.0
263,1965-12-01,1585.0
264,1966-01-01,1659.0
265,1966-02-01,1468.0
266,1966-03-01,1606.0
267,1966-04-01,1508.0
268,1966-05-01,1583.0
269,1966-06-01,1700.0
270,1966-07-01,1559.0
271,1966-08-01,1736.0
272,1966-09-01,1714.0
273,1966-10-01,1668.0
274,1966-11-01,1650.0
275,1966-12-01,1642.0
276,1967-01-01,1728.0
277,1967-02-01,1540.0
278,1967-03-01,1693.0
279,1967-04-01,1595.0
280,1967-05-01,1763.0
281,1967-06-01,1748.0
282,1967-07-01,1604.0
283,1967-08-01,1738.0
284,1967-09-01,1647.0
285,1967-10-01,1726.0
286,1967-11-01,1616.0
287,1967-12-01,1593.0
288,1968-01-01,1798.0
289,1968-02-01,1633.0
290,1968-03-01,1620.0
291,1968-04-01,1638.0
292,1968-05-01,1795.0
293,1968-06-01,1645.0
294,1968-07-01,1787.0
295,1968-08-01,1798.0
296,1968-09-01,1725.0
297,1968-10-01,1917.0
298,1968-11-01,1661.0
299,1968-12-01,1647.0
300,1969-01-01,1857.0
301,1969-02-01,1631.0
302,1969-03-01,1660.0
303,1969-04-01,1667.0
304,1969-05-01,1685.0
305,1969-06-01,1666.0
306,1969-07-01,1765.0
307,1969-08-01,1734.0
308,1969-09-01,1855.0
309,1969-10-01,1995.0
310,1969-11-01,1641.0
311,1969-12-01,1804.0
312,1970-01-01,1872.0
313,1970-02-01,1644.0
314,1970-03-01,1760.0
315,1970-04-01,1783.0
316,1970-05-01,1736.0
317,1970-06-01,1807.0
318,1970-07-01,1808.0
319,1970-08-01,1734.0
320,1970-09-01,1868.0
321,1970-10-01,1913.0
322,1970-11-01,1696.0
323,1970-12-01,1851.0
324,1971-01-01,1817.0
325,1971-02-01,1617.0
326,1971-03-01,1866.0
327,1971-04-01,1771.0
328,1971-05-01,1761.0
329,1971-06-01,1914.0
330,1971-07-01,1850.0
331,1971-08-01,1836.0
332,1971-09-01,1889.0
333,1971-10-01,1824.0
334,1971-11-01,1786.0
335,1971-12-01,1768.0
336,1972-01-01,1792.0
337,1972-02-01,1711.0
338,1972-03-01,1867.0
339,1972-04-01,1717.0
340,1972-05-01,1936.0
341,1972-06-01,1913.0
342,1972-07-01,1692.0
343,1972-08-01,1987.0
344,1972-09-01,1880.0
345,1972-10-01,2013.0
346,1972-11-01,1897.0
347,1972-12-01,1813.0
348,1973-01-01,1945.0
349,1973-02-01,1675.0
350,1973-03-01,1774.0
351,1973-04-01,1483.0
352,1973-05-01,1826.0
353,1973-06-01,1740.0
354,1973-07-01,1695.0
355,1973-08-01,1662.0
356,1973-09-01,1641.0
357,1973-10-01,1996.0
358,1973-11-01,1874.0
359,1973-12-01,1778.0
360,1974-01-01,1973.0
361,1974-02-01,1603.0
362,1974-03-01,1858.0
363,1974-04-01,1853.0
364,1974-05-01,1945.0
365,1974-06-01,1839.0
366,1974-07-01,1941.0
367,1974-08-01,1953.0
368,1974-09-01,1857.0
369,1974-10-01,2151.0
370,1974-11-01,1952.0
371,1974-12-01,1918.0
372,1975-01-01,2106.0
373,1975-02-01,1845.0
374,1975-03-01,1891.0
375,1975-04-01,1895.0
376,1975-05-01,1849.0
377,1975-06-01,1849.0
378,1975-07-01,1916.0
379,1975-08-01,1961.0
380,1975-09-01,2065.0
381,1975-10-01,2270.0
382,1975-11-01,1970.0
383,1975-12-01,2055.0
384,1976-01-01,2208.0
385,1976-02-01,1966.0
386,1976-03-01,2318.0
387,1976-04-01,2015.0
388,1976-05-01,1969.0
389,1976-06-01,2161.0
390,1976-07-01,2111.0
391,1976-08-01,2233.0
392,1976-09-01,2274.0
393,1976-10-01,2203.0
394,1976-11-01,2096.0
395,1976-12-01,2113.0
396,1977-01-01,2116.0
397,1977-02-01,1981.0
398,1977-03-01,2190.0
399,1977-04-01,1985.0
400,1977-05-01,1991.0
401,1977-06-01,2182.0
402,1977-07-01,1970.0
403,1977-08-01,2229.0
404,1977-09-01,2122.0
405,1977-10-01,2095.0
406,1977-11-01,2080.0
407,1977-12-01,2045.0
408,1978-01-01,2078.0
409,1978-02-01,1954.0
410,1978-03-01,2074.0
411,1978-04-01,1910.0
412,1978-05-01,2066.0
413,1978-06-01,1962.0
414,1978-07-01,1852.0
415,1978-08-01,2097.0
416,1978-09-01,1974.0
417,1978-10-01,2103.0
418,1978-11-01,2038.0
419,1978-12-01,1901.0
420,1979-01-01,2070.0
421,1979-02-01,1700.0
422,1979-03-01,1777.0
423,1979-04-01,1585.0
424,1979-05-01,1765.0
425,1979-06-01,1726.0
426,1979-07-01,1683.0
427,1979-08-01,1921.0
428,1979-09-01,1618.0
429,1979-10-01,1972.0
430,1979-11-01,1780.0
431,1979-12-01,1695.0
432,1980-01-01,1888.0
433,1980-02-01,1708.0
434,1980-03-01,1653.0
435,1980-04-01,1742.0
436,1980-05-01,1784.0
437,1980-06-01,1725.0
438,1980-07-01,1784.0
439,1980-08-01,1773.0
440,1980-09-01,1827.0
441,1980-10-01,2026.0
442,1980-11-01,1702.0
443,1980-12-01,1857.0
444,1981-01-01,1937.0
445,1981-02-01,1722.0
446,1981-03-01,1900.0
447,1981-04-01,1813.0
448,1981-05-01,1764.0
449,1981-06-01,1861.0
450,1981-07-01,1821.0
451,1981-08-01,1828.0
452,1981-09-01,1892.0
453,1981-10-01,1971.0
454,1981-11-01,1803.0
455,1981-12-01,1902.0
456,1982-01-01,1853.0
457,1982-02-01,1725.0
458,1982-03-01,1877.0
459,1982-04-01,1763.0
460,1982-05-01,1731.0
461,1982-06-01,1869.0
462,1982-07-01,1802.0
463,1982-08-01,1941.0
464,1982-09-01,1987.0
465,1982-10-01,2020.0
466,1982-11-01,1891.0
467,1982-12-01,1907.0
468,1983-01-01,1928.0
469,1983-02-01,1707.0
470,1983-03-01,1892.0
471,1983-04-01,1727.0
472,1983-05-01,1859.0
473,1983-06-01,1970.0
474,1983-07-01,1807.0
475,1983-08-01,2118.0
476,1983-09-01,2090.0
477,1983-10-01,2062.0
478,1983-11-01,1935.0
479,1983-12-01,1965.0
480,1984-01-01,1914.0
481,1984-02-01,1859.0
482,1984-03-01,1937.0
483,1984-04-01,1776.0
484,1984-05-01,2060.0
485,1984-06-01,1984.0
486,1984-07-01,1936.0
487,1984-08-01,2112.0
488,1984-09-01,1904.0
489,1984-10-01,2182.0
490,1984-11-01,1924.0
491,1984-12-01,1830.0
492,1985-01-01,2066.0
493,1985-02-01,1768.0
494,1985-03-01,1858.0
495,1985-04-01,1936.0
496,1985-05-01,2089.0
497,1985-06-01,1898.0
498,1985-07-01,2059.0
499,1985-08-01,2123.0
500,1985-09-01,1985.0
501,1985-10-01,2108.0
502,1985-11-01,1812.0
503,1985-12-01,1855.0
504,1986-01-01,2140.0
505,1986-02-01,1769.0
506,1986-03-01,1860.0
507,1986-04-01,2110.0
508,1986-05-01,2109.0
509,1986-06-01,2027.0
510,1986-07-01,2147.0
511,1986-08-01,2076.0
512,1986-09-01,2050.0
513,1986-10-01,2146.0
514,1986-11-01,1808.0
515,1986-12-01,1971.0
516,1987-01-01,2102.0
517,1987-02-01,1745.0
518,1987-03-01,1907.0
519,1987-04-01,1928.0
520,1987-05-01,1851.0
521,1987-06-01,1958.0
522,1987-07-01,2017.0
523,1987-08-01,2007.0
524,1987-09-01,2040.0
525,1987-10-01,2098.0
526,1987-11-01,1828.0
527,1987-12-01,1924.0
528,1988-01-01,1946.0
529,1988-02-01,1829.0
530,1988-03-01,1925.0
531,1988-04-01,1841.0
532,1988-05-01,1918.0
533,1988-06-01,2025.0
534,1988-07-01,1982.0
535,1988-08-01,2162.0
536,1988-09-01,2041.0
537,1988-10-01,2007.0
538,1988-11-01,1876.0
539,1988-12-01,1872.0
540,1989-01-01,1899.0
541,1989-02-01,1744.0
542,1989-03-01,1887.0
543,1989-04-01,1756.0
544,1989-05-01,1999.0
545,1989-06-01,2022.0
546,1989-07-01,1888.0
547,1989-08-01,2092.0
548,1989-09-01,1913.0
549,1989-10-01,2041.0
550,1989-11-01,1906.0
551,1989-12-01,1827.0
552,1990-01-01,1932.0
553,1990-02-01,1706.0
554,1990-03-01,1870.0
555,1990-04-01,1748.0
556,1990-05-01,2007.0
557,1990-06-01,1981.0
558,1990-07-01,1945.0
559,1990-08-01,2063.0
560,1990-09-01,1815.0
561,1990-10-01,2044.0
562,1990-11-01,1842.0
563,1990-12-01,1681.0
564,1991-01-01,1970.0
565,1991-02-01,1695.0
566,1991-03-01,1720.0
567,1991-04-01,1872.0
568,1991-05-01,1947.0
569,1991-06-01,1874.0
570,1991-07-01,1996.0
571,1991-08-01,2077.0
572,1991-09-01,1940.0
573,1991-10-01,2114.0
574,1991-11-01,1813.0
575,1991-12-01,1782.0
576,1992-01-01,2039.0
577,1992-02-01,1708.0
578,1992-03-01,1850.0
579,1992-04-01,1787.0
580,1992-05-01,1900.0
581,1992-06-01,2039.0
582,1992-07-01,2015.0
583,1992-08-01,1980.0
584,1992-09-01,1996.0
585,1992-10-01,2015.0
586,1992-11-01,1784.0
587,1992-12-01,1855.0
588,1993-01-01,1822.0
589,1993-02-01,1677.0
590,1993-03-01,1858.0
591,1993-04-01,1782.0
592,1993-05-01,1857.0
593,1993-06-01,2051.0
594,1993-07-01,1984.0
595,1993-08-01,2065.0
596,1993-09-01,2027.0
597,1993-10-01,1980.0
598,1993-11-01,1891.0
599,1993-12-01,1948.0
600,1994-01-01,1942.0
601,1994-02-01,1802.0
602,1994-03-01,2001.0
603,1994-04-01,1901.0
604,1994-05-01,1985.0
605,1994-06-01,2156.0
606,1994-07-01,2027.0
607,1994-08-01,2215.0
608,1994-09-01,2135.0
609,1994-10-01,2116.0
610,1994-11-01,1978.0
611,1994-12-01,2020.0
612,1995-01-01,2010.0
613,1995-02-01,1811.0
614,1995-03-01,2067.0
615,1995-04-01,1854.0
616,1995-05-01,2186.0
617,1995-06-01,2285.0
618,1995-07-01,2089.0
619,1995-08-01,2316.0
620,1995-09-01,2220.0
621,1995-10-01,2181.0
622,1995-11-01,2098.0
623,1995-12-01,1998.0
624,1996-01-01,2220.0
625,1996-02-01,2048.0
626,1996-03-01,2035.0
627,1996-04-01,2154.0
628,1996-05-01,2302.0
629,1996-06-01,2186.0
630,1996-07-01,2194.0
631,1996-08-01,2262.0
632,1996-09-01,1934.0
633,1996-10-01,2179.0
634,1996-11-01,1955.0
635,1996-12-01,1950.0
636,1997-01-01,2222.0
637,1997-02-01,1919.0
638,1997-03-01,1966.0
639,1997-04-01,2095.0
640,1997-05-01,2189.0
641,1997-06-01,2132.0
642,1997-07-01,2256.0
643,1997-08-01,2221.0
644,1997-09-01,2126.0
645,1997-10-01,2300.0
646,1997-11-01,1934.0
647,1997-12-01,2024.0
648,1998-01-01,2157.0
649,1998-02-01,1977.0
650,1998-03-01,2081.0
651,1998-04-01,2090.0
652,1998-05-01,2123.0
653,1998-06-01,2248.0
654,1998-07-01,2213.0
655,1998-08-01,2228.0
656,1998-09-01,2197.0
657,1998-10-01,2236.0
658,1998-11-01,2003.0
659,1998-12-01,2100.0
660,1999-01-01,2170.0
661,1999-02-01,1998.0
662,1999-03-01,2231.0
663,1999-04-01,2155.0
664,1999-05-01,2151.0
665,1999-06-01,2321.0
666,1999-07-01,2256.0
667,1999-08-01,2307.0
668,1999-09-01,2275.0
669,1999-10-01,2265.0
670,1999-11-01,2144.0
671,1999-12-01,2113.0
672,2000-01-01,2178.0
673,2000-02-01,2175.0
674,2000-03-01,2300.0
675,2000-04-01,2027.0
676,2000-05-01,2303.0
677,2000-06-01,2369.0
678,2000-07-01,2202.0
679,2000-08-01,2437.0
680,2000-09-01,2275.0
681,2000-10-01,2345.0
682,2000-11-01,2169.0
683,2000-12-01,1997.0
684,2001-01-01,2205.0
685,2001-02-01,1881.0
686,2001-03-01,2096.0
687,2001-04-01,1939.0
688,2001-05-01,2294.0
689,2001-06-01,2269.0
690,2001-07-01,2177.0
691,2001-08-01,2425.0
692,2001-09-01,2121.0
693,2001-10-01,2389.0
694,2001-11-01,2201.0
695,2001-12-01,2110.0
696,2002-01-01,2331.0
697,2002-02-01,1987.0
698,2002-03-01,2059.0
699,2002-04-01,2195.0
700,2002-05-01,2336.0
701,2002-06-01,2302.0
702,2002-07-01,2427.0
703,2002-08-01,2469.0
704,2002-09-01,2201.0
705,2002-10-01,2512.0
706,2002-11-01,2164.0
707,2002-12-01,2107.0
708,2003-01-01,2291.0
709,2003-02-01,1942.0
710,2003-03-01,2048.0
711,2003-04-01,2151.0
712,2003-05-01,2360.0
713,2003-06-01,2391.0
714,2003-07-01,2439.0
715,2003-08-01,2328.0
716,2003-09-01,2314.0
717,2003-10-01,2212.0
718,2003-11-01,1783.0
719,2003-12-01,1978.0
720,2004-01-01,1926.0
721,2004-02-01,1804.0
722,2004-03-01,2108.0
723,2004-04-01,1956.0
724,2004-05-01,2070.0
725,2004-06-01,2227.0
726,2004-07-01,2104.0
727,2004-08-01,2151.0
728,2004-09-01,2105.0
729,2004-10-01,2114.0
730,2004-11-01,1941.0
731,2004-12-01,2042.0
732,2005-01-01,1915.6
733,2005-02-01,1767.4
734,2005-03-01,2041.7
735,2005-04-01,1887.8
736,2005-05-01,2074.0
737,2005-06-01,2227.0
738,2005-07-01,2082.8
739,2005-08-01,2319.0
740,2005-09-01,2158.0
741,2005-10-01,2080.7
742,2005-11-01,2071.3
743,2005-12-01,2057.3
744,2006-01-01,2051.0
745,2006-02-01,1826.9
746,2006-03-01,2203.7
747,2006-04-01,1969.2
748,2006-05-01,2309.0
749,2006-06-01,2446.1
750,2006-07-01,2213.6
751,2006-08-01,2450.0
752,2006-09-01,2169.9
753,2006-10-01,2236.4
754,2006-11-01,2226.6
755,2006-12-01,2049.6
756,2007-01-01,2166.0
757,2007-02-01,1952.5
758,2007-03-01,2118.2
759,2007-04-01,2015.0
760,2007-05-01,2285.1
761,2007-06-01,2348.5
762,2007-07-01,2256.7
763,2007-08-01,2450.6
764,2007-09-01,2094.7
765,2007-10-01,2443.0
766,2007-11-01,2228.8
767,2007-12-01,2061.4
768,2008-01-01,2232.7
769,2008-02-01,2038.6
770,2008-03-01,2100.5
771,2008-04-01,2255.4
772,2008-05-01,2380.1
773,2008-06-01,2263.4
774,2008-07-01,2371.6
775,2008-08-01,2266.8
776,2008-09-01,2269.9
777,2008-10-01,2340.9
778,2008-11-01,1959.3
779,2008-12-01,2082.0
780,2009-01-01,2117.9
781,2009-02-01,1986.0
782,2009-03-01,2144.0
783,2009-04-01,2133.4
784,2009-05-01,2179.4
785,2009-06-01,2289.0
786,2009-07-01,2271.2
787,2009-08-01,2184.2
788,2009-09-01,2234.1
789,2009-10-01,2275.7
790,2009-11-01,2016.1
791,2009-12-01,2134.4
792,2010-01-01,2081.8
793,2010-02-01,1955.2
794,2010-03-01,2211.2
795,2010-04-01,2139.2
796,2010-05-01,2087.2
797,2010-06-01,2320.0
798,2010-07-01,2229.6
799,2010-08-01,2286.6
800,2010-09-01,2252.2
801,2010-10-01,2234.9
802,2010-11-01,2235.5
803,2010-12-01,2270.9
804,2011-01-01,2122.9
805,2011-02-01,2020.4
806,2011-03-01,2266.2
807,2011-04-01,2052.5
808,2011-05-01,2131.9
809,2011-06-01,2375.0
810,2011-07-01,2134.1
811,2011-08-01,2386.9
812,2011-09-01,2215.2
813,2011-10-01,2215.1
814,2011-11-01,2148.8
815,2011-12-01,2126.3
816,2012-01-01,2113.8
817,2012-02-01,2009.0
818,2012-03-01,2159.8
819,2012-04-01,1990.6
820,2012-05-01,2232.0
821,2012-06-01,2252.1
822,2012-07-01,2200.8
823,2012-08-01,2367.5
824,2012-09-01,2016.0
825,2012-10-01,2343.7
826,2012-11-01,2206.6
